Year,Country,Tariff
2002,Turkmenistan,0
2006,Libya,0
2013,Barbados,4.211538462
2013,Syria,0.919230769
2013,Trinidad and Tobago,4.730769231
2015,Guatemala,0
2015,Panama,0
2015,Republic of the Congo,4.903846154
2015,Thailand,0
2015,Uzbekistan,4.788461538
2016,Cambodia,7
2016,Chad,19.61538462
2016,Georgia,0
2016,Haiti,0
2016,Jamaica,0
2016,Malaysia,5
2016,Moldova,0
2016,Nigeria,4.730769231
2016,Tunisia,0
2016,Zimbabwe,4.557692308
2017,Israel,1.033741259
2017,Jordan,7.769230769
2017,Mexico,12.223125
2017,Saudi Arabia,4.519230769
2017,Sudan,21.86538462
2017,Tajikistan,4.355769231
2017,Yemen,4.596153846
2018,Afghanistan,5
2018,Bahamas,40.15384615
2018,Dominican Republic,9.769230769
2018,Ethiopia,4.951923077
2018,Honduras,0
2018,Liberia,4.730769231
2018,Mozambique,7.125
2018,Samoa,8
2018,Serbia,6.906923077
2018,South Korea,0
2018,Zambia,0
2019,Albania,0
2019,Algeria,13.26923077
2019,Angola,20
2019,Anguilla,10
2019,Antigua and Barbuda,4.769230769
2019,Argentina,13.45292307
2019,Armenia,4.769230769
2019,Aruba,6
2019,Australia,2.044230769
2019,Austria,0
2019,Azerbaijan,4.788461538
2019,Bahrain,4.807692308
2019,Bangladesh,9.826923077
2019,Belarus,4.769230769
2019,Belgium,0
2019,Belize,4.769230769
2019,Benin,4.730769231
2019,Bermuda,25
2019,Bhutan,19.63461538
2019,Bolivia,4.803076924
2019,Bosnia and Herzegovina,4.307692308
2019,Botswana,2.782051282
2019,Brazil,13.39853846
2019,Brunei,0
2019,Bulgaria,0
2019,Burkina Faso,4.730769231
2019,Burundi,24.52884615
2019,Cameroon,19.61538462
2019,Canada,0
2019,Cape Verde,0
2019,Cayman Islands,22
2019,Chile,3.484358975
2019,China,2.893269231
2019,Colombia,1.253205128
2019,Comoros,18.85384615
2019,Cook Islands,0
2019,Costa Rica,0
2019,Cote d'Ivoire,4.730769231
2019,Croatia,0
2019,Cuba,9.735897436
2019,Cyprus,0
2019,Czechia,0
2019,Democratic Republic of the Congo,10
2019,Denmark,0
2019,Ecuador,17.17846154
2019,Egypt,4.044230769
2019,El Salvador,0
2019,Estonia,0
2019,Eswatini,2.782051282
2019,Fiji,4.865384615
2019,Finland,0
2019,France,0
2019,French Polynesia,9.353846154
2019,Gabon,19.61538462
2019,Germany,0
2019,Ghana,4.730769231
2019,Greece,0
2019,Grenada,4.769230769
2019,Guinea,4.730769231
2019,Guinea-Bissau,4.730769231
2019,Guyana,4.211538462
2019,Hong Kong,0
2019,Hungary,0
2019,Iceland,0
2019,India,8.222222222
2019,Indonesia,4.730769231
2019,Iran,15.33333333
2019,Ireland,0
2019,Italy,0
2019,Japan,0
2019,Kazakhstan,4.769230769
2019,Kenya,24.44230769
2019,Kiribati,0
2019,Kuwait,4.826923077
2019,Kyrgyzstan,4.769230769
2019,Laos,4.765384615
2019,Latvia,0
2019,Lebanon,1.096153846
2019,Lesotho,2.782051282
2019,Liechtenstein,0.827769229
2019,Lithuania,0
2019,Luxembourg,0
2019,Macau,0
2019,Madagascar,8.85
2019,Malawi,9.123076923
2019,Maldives,4.865384615
2019,Mali,4.730769231
2019,Malta,0
2019,Mauritania,13
2019,Mauritius,0
2019,Micronesia,4
2019,Mongolia,4.980769231
2019,Montenegro,0
2019,Montserrat,9.538461538
2019,Morocco,2.105769231
2019,Myanmar,2.830769231
2019,Namibia,2.782051282
2019,Nauru,10
2019,Nepal,9.892307692
2019,Netherlands,0
2019,New Zealand,0
2019,Nicaragua,0
2019,Niger,4.730769231
2019,North Macedonia,0
2019,Norway,0
2019,Oman,4.807692308
2019,Pakistan,10.83269231
2019,Palau,3
2019,Papua New Guinea,0
2019,Paraguay,13.39261538
2019,Peru,0
2019,Philippines,2.198717949
2019,Poland,0
2019,Portugal,0
2019,Qatar,4.826923077
2019,Romania,0
2019,Russia,4.769230769
2019,Rwanda,9.811538462
2019,Saint Kitts and Nevis,4.769230769
2019,Saint Lucia,0
2019,Saint Pierre and Miquelon,4.115384615
2019,Saint Vincent and the Grenadines,4.769230769
2019,Sao Tome and Principe,10
2019,Senegal,4.730769231
2019,Seychelles,0
2019,Singapore,0
2019,Slovakia,0
2019,Slovenia,0
2019,Solomon Islands,4.942307692
2019,South Africa,2.782051282
2019,Spain,0
2019,Sri Lanka,4.894230769
2019,Suriname,4.730769231
2019,Sweden,0
2019,Switzerland,0.815596152
2019,Taiwan,0
2019,Tanzania,23.55769231
2019,Togo,4.730769231
2019,Turkey,13.98869231
2019,Uganda,24.52884615
2019,Ukraine,0
2019,United Arab Emirates,4.826923077
2019,United States,0
2019,Uruguay,13.34307692
2019,Venezuela,12.63661538
2019,Vietnam,0
2019,Wallis and Futuna,4.938461538
